"1608/02/16","慶長","13","01/01","戊申","大"
"1608/03/17","慶長","13","02/01","戊申","小"
"1608/04/15","慶長","13","03/01","戊申","小"
"1608/05/14","慶長","13","04/01","戊申","大"
"1608/06/13","慶長","13","05/01","戊申","小"
"1608/07/12","慶長","13","06/01","戊申","大"
"1608/08/11","慶長","13","07/01","戊申","小"
"1608/09/09","慶長","13","08/01","戊申","大"
"1608/10/09","慶長","13","09/01","戊申","大"
"1608/11/08","慶長","13","10/01","戊申","大"
"1608/12/08","慶長","13","11/01","戊申","小"
"1609/01/06","慶長","13","12/01","戊申","大"
"1609/02/05","慶長","14","01/01","己酉","小"
"1609/03/06","慶長","14","02/01","己酉","大"
"1609/04/05","慶長","14","03/01","己酉","小"
"1609/05/04","慶長","14","04/01","己酉","小"
"1609/06/02","慶長","14","05/01","己酉","大"
"1609/07/02","慶長","14","06/01","己酉","小"
"1609/07/31","慶長","14","07/01","己酉","大"
"1609/08/30","慶長","14","08/01","己酉","小"
"1609/09/28","慶長","14","09/01","己酉","大"
"1609/10/28","慶長","14","10/01","己酉","大"
"1609/11/27","慶長","14","11/01","己酉","小"
"1609/12/26","慶長","14","12/01","己酉","大"
"1610/01/25","慶長","15","01/01","庚戌","大"
"1610/02/24","慶長","15","02/01","庚戌","小"
"1610/03/25","慶長","15","閏02/01","庚戌","大"
"1610/04/24","慶長","15","03/01","庚戌","小"
"1610/05/23","慶長","15","04/01","庚戌","小"
"1610/06/21","慶長","15","05/01","庚戌","小"
"1610/07/20","慶長","15","06/01","庚戌","大"
"1610/08/19","慶長","15","07/01","庚戌","小"
"1610/09/17","慶長","15","08/01","庚戌","大"
"1610/10/17","慶長","15","09/01","庚戌","大"
"1610/11/16","慶長","15","10/01","庚戌","小"
"1610/12/15","慶長","15","11/01","庚戌","大"
"1611/01/14","慶長","15","12/01","庚戌","大"
"1611/02/13","慶長","16","01/01","辛亥","大"
"1611/03/15","慶長","16","02/01","辛亥","小"
"1611/04/13","慶長","16","03/01","辛亥","大"
"1611/05/13","慶長","16","04/01","辛亥","小"
"1611/06/11","慶長","16","05/01","辛亥","小"
"1611/07/10","慶長","16","06/01","辛亥","小"
"1611/08/08","慶長","16","07/01","辛亥","大"
"1611/09/07","慶長","16","08/01","辛亥","小"
"1611/10/06","慶長","16","09/01","辛亥","大"
"1611/11/05","慶長","16","10/01","辛亥","小"
"1611/12/04","慶長","16","11/01","辛亥","大"
"1612/01/03","慶長","16","12/01","辛亥","大"
"1612/02/02","慶長","17","01/01","壬子","大"
"1612/03/03","慶長","17","02/01","壬子","小"
"1612/04/01","慶長","17","03/01","壬子","大"
"1612/05/01","慶長","17","04/01","壬子","大"
"1612/05/31","慶長","17","05/01","壬子","小"
"1612/06/29","慶長","17","06/01","壬子","小"
"1612/07/28","慶長","17","07/01","壬子","大"
"1612/08/27","慶長","17","08/01","壬子","小"
"1612/09/25","慶長","17","09/01","壬子","小"
"1612/10/24","慶長","17","10/01","壬子","大"
